County1890,County1890up,Black population 1890,Acres 1899,color,mostly black,FIPS code,population 2010,Area sq mi,Acres 1899/Area sq mi,Census Population 1890,City,lat,lon
Thomas,THOMAS,15028,22947,red,1,275,44724,763,4.7%,26154,,,
Towns,TOWNS,74,480,brown,0,281,10495,172,0.4%,4064,,,
Troup,TROUP,13661,8331,red,1,285,68468,446,2.9%,20723,,,
Twiggs,TWIGGS,5447,7998,brown,1,289,8447,365,3.4%,8195,,,
Union,UNION,165,164,pink,0,291,21451,329,0.1%,7749,,,
Upson,UPSON,6123,8514,blue,1,293,26630,325,4.1%,12188,,,
Walker,WALKER,1932,2684,green,0,295,68094,447,0.9%,13282,,,
Walton,WALTON,7155,4772,blue,0,297,84575,367,2.0%,17467,,,
Ware,WARE,3619,1019,yellow,0,299,35821,949,0.2%,8811,,,
Warren,WARREN,6756,2189,green,1,301,5578,287,1.2%,10957,,,
Washington,WASHINGTON,14925,11147,lightgray,1,303,20879,684,2.5%,25237,,,
Wayne,WAYNE,2195,11479,yellow,0,305,30305,909,2.0%,7485,,,
Webster,WEBSTER,3272,4479,brown,1,307,2793,212,3.3%,5695,,,
White,WHITE,662,1026,blue,0,311,27556,241,0.7%,6151,,,
Whitfield,WHITFIELD,1930,2773,red,0,313,103359,292,1.5%,12916,,,
Wilcox,WILCOX,3155,9470,green,0,315,9068,545,2.7%,7980,,,
Wilkes,WILKES,12464,13700,red,1,317,10076,474,4.5%,18081,,,
Wilkinson,WILKINSON,5214,6900,green,0,319,9577,452,2.4%,10781,,,
Worth,WORTH,4176,7575,blue,0,321,21741,752,1.6%,10048,,,
,,,,,,,,,,,Atlanta,33°45′ N,84°23′ W
,,,,,,,,,,,Columbus,32°30′ N,84°56′ W
,,,,,,,,,,,Macon,32°50′ N,83°39′ W
,,,,,,,,,,,Savannah,32°01′ N,81°07′ W
,,,,,,,,,,,Augusta,33°28′ N,81°58′ W

