Shape,Part,X,Y,NAME
62,1,81°32′04″ W,32°23′39″ N,EFFINGHAM
62,1,81°32′00″ W,32°24′24″ N,EFFINGHAM
62,1,81°32′37″ W,32°25′01″ N,EFFINGHAM
62,1,81°32′08″ W,32°25′21″ N,EFFINGHAM
62,1,81°32′20″ W,32°26′08″ N,EFFINGHAM
62,1,81°31′35″ W,32°27′00″ N,EFFINGHAM
62,1,81°31′54″ W,32°28′00″ N,EFFINGHAM
62,1,81°32′33″ W,32°28′00″ N,EFFINGHAM
62,1,81°32′09″ W,32°28′56″ N,EFFINGHAM
62,1,81°32′52″ W,32°29′14″ N,EFFINGHAM
62,1,81°32′52″ W,32°29′16″ N,EFFINGHAM
62,1,81°32′51″ W,32°29′23″ N,EFFINGHAM
62,1,81°32′19″ W,32°30′33″ N,EFFINGHAM
62,1,81°23′22″ W,32°35′44″ N,EFFINGHAM
68,1,81°32′20″ W,33°02′21″ N,SCREVEN
68,1,81°31′45″ W,33°02′27″ N,SCREVEN
68,1,81°30′40″ W,33°01′40″ N,SCREVEN
68,1,81°31′09″ W,33°01′24″ N,SCREVEN
68,1,81°30′38″ W,33°00′37″ N,SCREVEN
68,1,81°30′15″ W,33°00′59″ N,SCREVEN
68,1,81°29′31″ W,33°00′33″ N,SCREVEN
68,1,81°29′29″ W,33°00′29″ N,SCREVEN
68,1,81°30′02″ W,33°00′09″ N,SCREVEN
68,1,81°29′28″ W,32°59′52″ N,SCREVEN
68,1,81°29′58″ W,32°57′53″ N,SCREVEN
68,1,81°29′59″ W,32°57′50″ N,SCREVEN
68,1,81°30′37″ W,32°58′08″ N,SCREVEN
68,1,81°30′40″ W,32°58′05″ N,SCREVEN
68,1,81°30′41″ W,32°58′00″ N,SCREVEN
68,1,81°30′36″ W,32°57′26″ N,SCREVEN
68,1,81°30′31″ W,32°57′09″ N,SCREVEN
68,1,81°29′58″ W,32°56′42″ N,SCREVEN
68,1,81°30′09″ W,32°56′07″ N,SCREVEN
68,1,81°29′00″ W,32°55′18″ N,SCREVEN
68,1,81°28′51″ W,32°53′55″ N,SCREVEN
68,1,81°27′51″ W,32°53′52″ N,SCREVEN
68,1,81°28′46″ W,32°52′52″ N,SCREVEN
68,1,81°27′10″ W,32°52′23″ N,SCREVEN
68,1,81°27′20″ W,32°50′47″ N,SCREVEN
68,1,81°27′39″ W,32°50′46″ N,SCREVEN
68,1,81°26′37″ W,32°51′02″ N,SCREVEN
68,1,81°26′25″ W,32°50′28″ N,SCREVEN
68,1,81°25′18″ W,32°50′07″ N,SCREVEN
68,1,81°25′16″ W,32°50′00″ N,SCREVEN
68,1,81°25′49″ W,32°49′40″ N,SCREVEN
68,1,81°25′05″ W,32°49′06″ N,SCREVEN
68,1,81°25′42″ W,32°48′03″ N,SCREVEN
68,1,81°25′11″ W,32°47′36″ N,SCREVEN
68,1,81°25′52″ W,32°47′03″ N,SCREVEN
68,1,81°24′52″ W,32°46′41″ N,SCREVEN
68,1,81°25′55″ W,32°46′08″ N,SCREVEN
68,1,81°24′44″ W,32°45′50″ N,SCREVEN
68,1,81°24′29″ W,32°45′21″ N,SCREVEN
68,1,81°25′11″ W,32°44′57″ N,SCREVEN
68,1,81°24′18″ W,32°44′44″ N,SCREVEN
68,1,81°25′07″ W,32°43′57″ N,SCREVEN
68,1,81°24′36″ W,32°43′19″ N,SCREVEN
68,1,81°25′13″ W,32°43′16″ N,SCREVEN
