Name,Last Name,First Name,Graduation date,Rank at graduation,Class,Graduated from,Pilot type,Military hometown of record,State,Aerial Victory Credits,Web Profile
"Brooks, Milton R.",Brooks, Milton R.,28-May-43,2nd Lt,SE-43-E,TAAF,Single engine,Glassport,PA,"Downed 1 Me-109 on October 12, 1944",https://cafriseabove.org/milton-reed-brooks/
"Brooks, Sidney P.",Brooks, Sidney P.,29-Apr-42,2nd Lt,SE-42-D,TAAF,Single engine,Cleveland,OH,,https://cafriseabove.org/sidney-p-brooks/
"Brooks, Terry H.",Brooks, Terry H.,22-Oct-43,1st Lt,CL-43-2,TAAF,Liaison pilot,,,,
"Brooks, Tilford U.",Brooks, Tilford U.,15-Apr-45,Flight Officer,SE-45-B,TAAF,Single engine,East St. Louis,IL,,
"Brothers, James E.",Brothers, James E.,4-Aug-44,Flight Officer,TE-44-G,TAAF,Twin engine,Philadelphia,PA,,
"Brothers, James E.",Brothers, James E.,29-Apr-43,2nd Lt,SE-43-D,TAAF,Single engine,Chicago,IL,,
"Browder, Cecil L.",Browder, Cecil L.,1-Oct-43,2nd Lt,SE-43-I,TAAF,Single engine,Wilmington,NC,,
"Brown, Augustus G.",Brown, Augustus G.,8-Sep-44,2nd Lt,TE-44-H,TAAF,Twin engine,Houma,LA,,
"Brown, George A., Jr.",Brown," George A., Jr.",4-Aug-45,2nd Lt,TE-45-E,TAAF,Twin engine,Baltimore,MD,,
"Brown, Harold Heywood",Brown, Harold Heywood,23-May-44,2nd Lt,SE-44-E,TAAF,Single engine,Minneapolis,MN,,
"Brown, Harold Howard",Brown, Harold Howard,4-Aug-44,2nd Lt,TE-44-G,TAAF,Twin engine,Weeletka,OK,,
"Brown, James B.",Brown, James B.,3-Nov-43,2nd Lt,SE-43-J,TAAF,Single engine,Los Angeles,CA,,https://cafriseabove.org/james-b-brown/
"Brown, James W.",Brown, James W.,16-Oct-44,2nd Lt,TE-44-I-1,TAAF,Twin engine,Detroit,MI,,
"Brown, Lawrence A.",Brown, Lawrence A.,1-Feb-44,Flight Officer,SE-44-K,TAAF,Single engine,Jamaica,NY,,
"Brown, Reuben H., Jr.",Brown," Reuben H., Jr.",8-Sep-45,2nd Lt,SE-45-F,TAAF,Single engine,Kansas City,MO,,
"Brown, Robert S.",Brown, Robert S.,8-Sep-44,2nd Lt,TE-44-H,TAAF,Twin engine,Minneapolis,MN,,
"Brown, Roger B.",Brown, Roger B.,3-Nov-43,2nd Lt,SE-43-J,TAAF,Single engine,Glencoe,IL,,https://cafriseabove.org/roger-bartlett-brown/
