Count,Source,Destination
8,"Africa., port unspecified","Rhode Island, port unspecified"
8,"Africa., port unspecified",Philadelphia
8,"Africa., port unspecified","Hispaniola, unspecified"
8,"Africa., port unspecified",Cayes (Les)
8,"Africa., port unspecified",Berbice
7,Zanzibar,Havana
7,Windward + Ivory + Gold + Benin,"Americas, port unspecified"
7,"Windward Coast, port unspecified",Savannah
7,Windward Coast (Nunez - Assini),"St. Vincent, port unspecified"
7,Whydah,Portobelo
7,Whydah,Cartagena
7,"West Central Africa and St. Helena, port unspecified",Savannah
7,"West Central Africa and St. Helena, port unspecified",Caracas
7,Sierra Leone estuary,Suriname
7,Sierra Leone estuary,Savannah
7,Sierra Leone estuary,Montego Bay
7,Sierra Leone estuary,"Martinique, port unspecified"
7,Sierra Leone estuary,Cayes (Les)
7,Sierra Leone estuary,"British Caribbean, colony unspecified"
7,"Senegambia and offshore Atlantic, port unspecified","Martinique, port unspecified"
7,"Senegambia and offshore Atlantic, port unspecified",Leogane
7,"Senegambia and offshore Atlantic, port unspecified",Basse-Terre
7,Saint-Louis,Cayes (Les)
7,Saint-Louis,"Americas, port unspecified"
7,River Brass,Freetown
7,Rio Zaire,"Bahia, port unspecified"
7,Quilimane,"Rio de Janeiro, Sao Paulo, Santa Catarina"
7,Princes Island,"Pernambuco, port unspecified"
7,Princes Island,NA
7,Popo,"Jamaica, port unspecified"
7,New Calabar,Freetown
7,Mozambique,Port-au-Prince
7,Mozambique,"Americas, region unspecified"
7,Luanda,St. Helena
7,Luanda,Catuamo and Maria Farinha
7,Loango,Port-au-Prince
7,Loango,Montevideo
7,Loango,Kingston
7,Loango,Basse-Terre
7,Little Popo,NA
7,"Lagos, Onim",Port-au-Prince
7,Kormantine,"Barbados, port unspecified"
7,Iles de Los,Cayes (Les)
7,"Gold Coast, port unspecified",Montego Bay
7,"Gold Coast, Fr. definition",Leogane
7,"Gold Coast, Fr. definition",Basse-Terre
7,Gambia,Newcastle (Nevis)
7,Gabon,Basse-Terre
7,Elmina,Rio de Janeiro
7,Congo River,Sao Sebastiao
7,Congo River,Cardenas
7,Cap Lopez,"Bahia, port unspecified"
7,Cape Mount (Cape Grand Mount),"St. Kitts, port unspecified"
7,Cape Mount (Cape Grand Mount),Montego Bay
7,Cameroons,Kingston
